2019-08-06	오전 9:22
Function	Cp-Q
Auto Range	Enabled
Manual Impedance Range	100	Ohms
Signal Frequency	1000.000000	Hz
Signal Type	Voltage
Signal Level	1.000000
Measurement Time	Medium
Averaging Factor	1.000000
Sampling Rate	5.000000	Hz
Cp	Q
1.510610E-11	580.018000
1.511180E-11	501.122000
1.512110E-11	529.971000
1.512510E-11	427.679000
1.512070E-11	433.258000
1.511460E-11	388.381000
1.512010E-11	416.442000
1.511760E-11	530.288000
1.511110E-11	443.060000
1.511080E-11	464.171000
1.512370E-11	437.729000
1.511400E-11	456.640000
1.511140E-11	532.961000
1.512070E-11	607.375000
1.510810E-11	460.165000
1.510520E-11	414.697000
1.511880E-11	622.040000
1.512400E-11	547.722000
1.512200E-11	639.875000
1.511580E-11	690.606000
1.511670E-11	604.000000
1.512170E-11	405.267000
1.511910E-11	408.947000
1.511520E-11	472.959000
1.512070E-11	426.693000
1.511970E-11	560.706000
1.511810E-11	491.819000
1.511140E-11	548.791000
1.511440E-11	569.740000
1.511190E-11	551.925000
1.511110E-11	586.013000
1.512180E-11	542.634000
1.511130E-11	580.567000
1.510890E-11	526.313000
1.512260E-11	521.649000
1.512580E-11	527.816000
1.511990E-11	530.026000
1.512720E-11	415.146000
1.512680E-11	556.511000
1.511900E-11	473.339000
1.511540E-11	408.422000
1.511290E-11	497.517000
1.512120E-11	507.167000
1.511940E-11	621.292000
1.511460E-11	479.028000
1.511480E-11	582.447000
1.511390E-11	379.426000
1.512670E-11	488.783000
1.511700E-11	678.798000
1.511910E-11	495.541000
1.511390E-11	580.144000
1.511370E-11	657.405000
1.511990E-11	525.677000
1.512060E-11	399.300000
1.511530E-11	509.454000
1.512520E-11	434.992000
1.511970E-11	480.820000
1.511090E-11	453.804000
1.510610E-11	447.025000
1.510970E-11	488.183000
1.511560E-11	453.487000
1.511920E-11	566.429000
1.512250E-11	446.605000
1.511540E-11	557.112000
1.510600E-11	381.975000
1.511790E-11	600.145000
1.511990E-11	553.361000
1.511640E-11	437.614000
1.510780E-11	639.196000
1.510960E-11	710.791000
1.511510E-11	515.790000
1.511520E-11	393.846000
1.511320E-11	488.383000
1.510940E-11	372.509000
1.511820E-11	428.170000
1.510910E-11	480.585000
1.510850E-11	568.543000
1.509770E-11	535.089000
1.509640E-11	519.885000
1.510120E-11	520.611000
1.509490E-11	550.863000
1.510050E-11	595.901000
1.508490E-11	501.925000
1.509400E-11	561.673000
1.510030E-11	628.490000
1.509820E-11	465.579000
1.510350E-11	613.780000
1.510330E-11	682.218000
1.510680E-11	416.544000
1.510720E-11	383.083000
1.510300E-11	450.280000
1.510750E-11	497.104000
1.510950E-11	361.985000
1.509380E-11	512.899000
1.508670E-11	594.921000
1.509100E-11	557.253000
1.511340E-11	624.246000
1.511900E-11	528.804000
1.511930E-11	508.958000
1.512510E-11	657.344000
1.511070E-11	424.949000
1.512140E-11	484.021000
1.512420E-11	605.899000
1.512030E-11	412.998000
1.512350E-11	780.486000
1.511830E-11	662.729000
1.511960E-11	450.762000
1.512340E-11	408.730000
1.511280E-11	511.444000
1.511300E-11	393.386000
1.512290E-11	410.152000
1.511810E-11	742.031000
1.510980E-11	446.365000
1.511790E-11	502.816000
1.511610E-11	434.051000
1.512440E-11	494.483000
1.511950E-11	591.293000
1.512570E-11	631.496000
1.511090E-11	417.113000
1.511790E-11	496.660000
1.512000E-11	640.122000
1.512110E-11	404.247000
1.511820E-11	707.446000
1.511550E-11	683.262000
1.511900E-11	414.016000
1.512080E-11	392.916000
1.512300E-11	506.875000
1.512620E-11	402.612000
1.512060E-11	467.721000
1.511530E-11	485.809000
1.511320E-11	526.372000
1.511340E-11	501.266000
1.511910E-11	622.020000
1.512090E-11	496.088000
1.511350E-11	499.993000
1.512200E-11	601.182000
1.510980E-11	411.234000
1.511620E-11	548.393000
1.511790E-11	567.750000
1.512170E-11	454.389000
1.511580E-11	650.391000
1.510590E-11	744.342000
1.509650E-11	450.584000
1.509530E-11	479.445000
1.509300E-11	552.042000
1.509940E-11	459.765000
1.509940E-11	555.648000
1.509400E-11	677.966000
1.506970E-11	461.011000
1.506230E-11	524.987000
1.506420E-11	444.545000
1.506350E-11	564.802000
1.574830E-11	95.480800
1.577800E-11	99.378600
1.582340E-11	85.306000
1.582700E-11	89.171500
1.583700E-11	92.440800
1.584260E-11	89.879900
1.583630E-11	92.424900
1.583810E-11	90.888900
1.584730E-11	89.779600
1.584840E-11	86.248100
1.584190E-11	88.195900
1.585070E-11	88.376900
1.584040E-11	90.139000
1.584500E-11	86.017800
1.584150E-11	85.058900
1.584000E-11	88.083700
1.584670E-11	85.872100
1.584620E-11	90.472800
1.584520E-11	88.655000
1.584600E-11	91.583000
1.584850E-11	88.107900
1.584730E-11	86.151700
1.584620E-11	90.632600
1.585020E-11	87.592000
1.584400E-11	91.263000
1.583770E-11	89.649800
1.584760E-11	87.786900
1.585660E-11	87.219500
1.584860E-11	87.803400
1.585050E-11	90.806100
1.584510E-11	87.742000
1.584640E-11	84.514900
1.584000E-11	84.581800
1.583260E-11	87.725100
1.583790E-11	87.764900
1.584150E-11	91.553500
1.584720E-11	91.173600
1.583500E-11	89.662100
1.584040E-11	84.110000
1.583410E-11	91.035300
1.582980E-11	89.805900
1.583490E-11	88.237000
1.583220E-11	88.265400
1.583150E-11	86.994900
1.583250E-11	89.534400
1.582870E-11	91.157600
1.580860E-11	92.637700
1.580620E-11	93.530600
1.580220E-11	93.921300
1.579830E-11	88.345200
1.579530E-11	86.361500
1.587850E-11	77.051900
1.590880E-11	74.290100
1.593230E-11	78.530800
1.593100E-11	75.674400
1.592800E-11	76.213300
1.594660E-11	74.749000
1.593100E-11	75.853300
1.592910E-11	76.609700
1.594050E-11	80.099200
1.593120E-11	73.910300
1.593150E-11	73.477700
1.593420E-11	78.175400
1.594090E-11	78.447100
1.594460E-11	74.825500
1.594570E-11	79.365200
1.593310E-11	78.548600
1.594000E-11	76.648500
1.594050E-11	76.392600
1.594280E-11	74.643700
1.594360E-11	79.467100
1.593260E-11	75.178600
1.594070E-11	74.252600
1.593690E-11	74.344800
1.593540E-11	73.714300
1.594260E-11	74.039800
1.593610E-11	74.539100
1.593250E-11	74.537500
1.594650E-11	73.860300
1.594750E-11	74.874800
1.593310E-11	74.196300
1.593380E-11	75.982600
1.593040E-11	73.041600
1.594010E-11	72.671400
1.593990E-11	75.395400
1.593650E-11	77.760900
1.593970E-11	76.398300
1.594180E-11	79.717400
1.592970E-11	77.009600
1.593980E-11	75.062900
1.594170E-11	78.210000
1.594160E-11	75.815100
1.593160E-11	77.007500
1.593700E-11	78.321900
1.593530E-11	75.415700
1.592950E-11	73.561700
1.589900E-11	80.317600
1.588010E-11	79.046100
1.587840E-11	75.705700
1.586800E-11	76.206600
1.583050E-11	79.289300
1.544760E-11	157.874000
1.577360E-11	94.628100
1.580690E-11	82.514300
1.581290E-11	85.807600
1.581100E-11	83.583200
1.581200E-11	82.018900
1.580180E-11	88.526600
1.577750E-11	83.488000
1.578460E-11	86.429300
1.577950E-11	85.209300
1.580320E-11	82.941000
1.582330E-11	87.174200
1.511330E-11	533.720000
1.508010E-11	510.517000
1.509740E-11	490.245000
1.509160E-11	614.478000
1.510000E-11	564.202000
1.508820E-11	443.742000
1.510510E-11	412.346000
1.511820E-11	376.905000
1.512920E-11	581.546000
1.512560E-11	401.487000
1.512790E-11	496.287000
1.512320E-11	751.012000
1.511510E-11	440.112000
1.512610E-11	405.103000
1.511950E-11	395.736000
1.512500E-11	499.577000
1.512450E-11	515.389000
1.512220E-11	420.199000
1.512020E-11	382.567000
1.512790E-11	414.568000
1.512690E-11	372.067000
1.512020E-11	372.928000
1.511190E-11	447.250000
1.510700E-11	455.202000
1.510450E-11	531.117000
1.509120E-11	420.470000
1.508370E-11	433.694000
1.508090E-11	615.383000
1.508120E-11	486.418000
1.509440E-11	654.372000
1.509610E-11	642.113000
1.509130E-11	401.827000
1.509060E-11	702.879000
1.508090E-11	396.748000
1.509750E-11	475.595000
1.508750E-11	628.141000
1.509880E-11	575.997000
1.508030E-11	536.193000
1.506680E-11	533.351000
1.506940E-11	554.013000
1.506840E-11	727.530000
1.506520E-11	466.055000
1.506370E-11	597.391000
1.541580E-11	170.643000
1.595850E-11	75.748100
1.599710E-11	73.942100
1.600960E-11	74.253600
1.600050E-11	74.915500
1.600440E-11	70.459000
1.601710E-11	72.505600
1.601180E-11	69.742900
1.601770E-11	72.141800
1.601660E-11	74.498200
1.601870E-11	71.669100
1.600820E-11	70.851000
1.602280E-11	71.384200
1.602490E-11	73.440400
1.602470E-11	70.383400
1.601030E-11	69.587200
1.599850E-11	71.205700
1.598920E-11	74.067000
1.597350E-11	69.739200
1.595760E-11	72.791700
1.593990E-11	73.801400
1.578190E-11	87.363000
1.505740E-11	664.027000
1.507340E-11	574.392000
1.508450E-11	507.986000
1.510200E-11	603.613000
1.508870E-11	430.191000
1.510230E-11	464.468000
1.509820E-11	615.695000
1.511040E-11	500.137000
1.512240E-11	596.660000
1.511720E-11	639.451000
1.511310E-11	385.024000
1.512840E-11	429.851000
1.512630E-11	533.617000
1.512210E-11	468.733000
1.512920E-11	627.523000
1.511870E-11	376.541000
1.511910E-11	385.491000
1.511890E-11	455.100000
1.512020E-11	398.425000
1.512180E-11	603.203000
1.511590E-11	455.189000
1.511380E-11	515.749000
1.512240E-11	407.991000
1.511690E-11	424.276000
1.511740E-11	582.585000
1.512350E-11	563.239000
1.511290E-11	493.436000
1.511280E-11	474.253000
1.512210E-11	477.749000
1.512960E-11	529.894000
1.512430E-11	386.704000
1.512710E-11	443.505000
1.511480E-11	634.362000
1.509900E-11	391.376000
1.509950E-11	408.799000
1.509160E-11	432.854000
1.508930E-11	480.343000
1.508550E-11	618.862000
1.507920E-11	560.281000
1.508120E-11	493.765000
1.509150E-11	409.203000
1.509420E-11	462.252000
1.509630E-11	474.823000
1.511470E-11	516.713000
1.510190E-11	470.869000
1.510450E-11	441.552000
1.511190E-11	492.676000
1.512210E-11	613.112000
1.511840E-11	530.973000
1.512320E-11	485.480000
1.511940E-11	667.886000
1.512390E-11	422.749000
1.512570E-11	373.892000
1.512250E-11	420.294000
