2019-08-07	오전 10:00
Function	Cp-Q
Auto Range	Enabled
Manual Impedance Range	100	Ohms
Signal Frequency	1000.000000	Hz
Signal Type	Voltage
Signal Level	1.000000
Measurement Time	Medium
Averaging Factor	1.000000
Sampling Rate	5.000000	Hz
Cp	Q
1.190180E-11	234.934000
1.190290E-11	195.171000
1.190120E-11	212.565000
1.190070E-11	224.729000
1.190360E-11	244.103000
1.190220E-11	219.090000
1.190640E-11	211.845000
1.190790E-11	230.375000
1.190330E-11	222.617000
1.190260E-11	225.015000
1.190120E-11	210.673000
1.191690E-11	206.371000
1.191370E-11	211.493000
1.191160E-11	201.510000
1.191040E-11	239.962000
1.190880E-11	228.136000
1.191090E-11	243.818000
1.190800E-11	225.480000
1.190050E-11	213.653000
1.190420E-11	190.710000
1.191680E-11	220.381000
1.190270E-11	210.928000
1.191040E-11	227.665000
1.189940E-11	213.074000
1.190280E-11	194.075000
1.190550E-11	251.790000
1.191800E-11	232.043000
1.190070E-11	197.156000
1.191640E-11	233.042000
1.191510E-11	207.931000
1.191660E-11	200.589000
1.190220E-11	241.944000
1.191260E-11	254.650000
1.190290E-11	238.834000
1.191120E-11	234.870000
1.191540E-11	232.064000
1.191390E-11	205.123000
1.191280E-11	227.189000
1.190580E-11	194.742000
1.190480E-11	212.945000
1.191010E-11	229.830000
1.190670E-11	202.191000
1.191350E-11	185.059000
1.191510E-11	227.403000
1.190950E-11	178.935000
1.190540E-11	205.431000
1.191540E-11	184.622000
1.191860E-11	216.938000
1.191640E-11	202.465000
1.191670E-11	191.617000
1.191100E-11	210.806000
1.191140E-11	203.205000
1.190680E-11	257.057000
1.191600E-11	218.395000
1.191710E-11	211.189000
1.190410E-11	195.524000
1.191560E-11	200.812000
1.190910E-11	211.831000
1.190830E-11	219.442000
1.191170E-11	206.459000
1.191390E-11	192.103000
1.191050E-11	220.734000
1.191130E-11	186.078000
1.190560E-11	193.004000
1.191040E-11	216.972000
1.191580E-11	204.829000
1.191760E-11	197.707000
1.191610E-11	192.463000
1.190550E-11	241.928000
1.191130E-11	217.873000
1.191070E-11	230.618000
1.191280E-11	215.965000
1.190960E-11	186.139000
1.191410E-11	178.600000
1.192040E-11	196.021000
1.190470E-11	212.869000
1.191110E-11	200.438000
1.190210E-11	197.790000
1.191710E-11	173.955000
1.191240E-11	238.145000
1.191020E-11	171.596000
1.191070E-11	188.485000
1.191980E-11	216.084000
1.192140E-11	222.020000
1.192300E-11	191.984000
1.191650E-11	174.394000
1.191870E-11	226.746000
1.191220E-11	224.019000
1.191310E-11	229.256000
1.192090E-11	226.953000
1.191010E-11	192.611000
1.191280E-11	229.571000
1.190610E-11	192.568000
1.191400E-11	223.239000
1.191340E-11	217.494000
1.191330E-11	200.182000
1.191370E-11	188.844000
1.191890E-11	202.154000
1.190750E-11	204.047000
1.191310E-11	203.499000
1.191260E-11	201.285000
1.191980E-11	176.746000
1.191710E-11	184.066000
1.191470E-11	175.103000
1.192240E-11	215.086000
1.191670E-11	210.303000
1.192640E-11	212.539000
1.191660E-11	174.300000
1.191340E-11	216.760000
1.190650E-11	195.465000
1.191310E-11	172.891000
1.191760E-11	211.430000
1.192450E-11	190.809000
1.191460E-11	221.841000
1.191180E-11	203.313000
1.192470E-11	187.056000
1.191290E-11	213.064000
1.191800E-11	225.151000
1.192110E-11	169.207000
1.191580E-11	227.193000
1.191360E-11	183.907000
1.191260E-11	186.787000
1.191940E-11	175.094000
1.192730E-11	187.353000
1.191220E-11	223.949000
1.191720E-11	169.437000
1.192040E-11	196.973000
1.192510E-11	205.885000
1.192160E-11	224.205000
1.190920E-11	187.305000
1.192210E-11	175.035000
1.192270E-11	182.242000
1.191570E-11	192.486000
1.191870E-11	185.330000
1.192300E-11	196.960000
1.192120E-11	193.975000
1.192490E-11	217.244000
1.191180E-11	178.289000
1.191930E-11	195.048000
1.192400E-11	174.484000
1.191780E-11	177.820000
1.191780E-11	185.252000
1.191340E-11	175.300000
1.191330E-11	193.087000
1.192560E-11	172.827000
1.192640E-11	200.644000
1.191880E-11	221.459000
1.191370E-11	171.605000
1.191840E-11	167.423000
1.191920E-11	170.306000
1.192720E-11	209.664000
1.191130E-11	176.525000
1.192450E-11	182.249000
1.192440E-11	167.037000
1.191830E-11	224.071000
1.192670E-11	202.720000
1.192640E-11	220.791000
1.192390E-11	197.141000
1.191470E-11	209.877000
1.191470E-11	202.663000
1.192840E-11	180.976000
1.192090E-11	208.727000
1.191400E-11	186.826000
1.192200E-11	183.749000
1.192420E-11	177.365000
1.191320E-11	199.225000
1.191530E-11	193.485000
1.191490E-11	179.257000
1.191510E-11	188.061000
1.191980E-11	225.198000
1.191850E-11	203.305000
1.191470E-11	191.538000
1.191780E-11	197.399000
1.192400E-11	212.043000
1.192740E-11	182.622000
1.192900E-11	188.092000
1.191690E-11	196.817000
1.191780E-11	214.706000
1.191520E-11	226.234000
1.192080E-11	217.072000
1.192590E-11	204.008000
1.191980E-11	229.745000
1.191660E-11	179.691000
1.191550E-11	184.472000
1.191740E-11	229.164000
1.191560E-11	190.343000
1.192310E-11	186.227000
1.191710E-11	217.550000
1.191980E-11	190.501000
1.191130E-11	173.339000
1.192090E-11	235.560000
1.192220E-11	195.693000
1.192540E-11	201.581000
1.192360E-11	188.357000
1.192080E-11	225.411000
1.191620E-11	218.028000
1.192370E-11	202.507000
1.192270E-11	203.429000
1.192420E-11	198.963000
1.192360E-11	212.762000
1.193120E-11	204.639000
1.191450E-11	207.778000
1.191790E-11	209.756000
1.191220E-11	193.313000
1.192630E-11	174.137000
1.191940E-11	230.029000
1.191460E-11	177.980000
1.191320E-11	198.360000
1.192810E-11	196.841000
1.192420E-11	186.596000
1.192840E-11	178.387000
1.191770E-11	240.554000
1.192900E-11	211.645000
1.192360E-11	226.218000
1.192270E-11	224.995000
1.192980E-11	203.862000
1.191530E-11	205.588000
1.191830E-11	216.038000
1.191360E-11	199.109000
1.192440E-11	214.916000
1.192490E-11	238.079000
1.191830E-11	208.275000
1.191290E-11	204.037000
1.193030E-11	201.064000
1.191630E-11	218.320000
1.191710E-11	224.837000
1.193050E-11	208.929000
1.191960E-11	182.348000
1.192010E-11	191.524000
1.191660E-11	178.079000
1.192820E-11	209.560000
1.192490E-11	216.984000
1.193050E-11	190.696000
1.192550E-11	191.878000
1.191650E-11	222.805000
1.191480E-11	213.528000
1.192310E-11	179.181000
1.192740E-11	227.011000
1.192760E-11	211.868000
1.191830E-11	235.043000
1.191280E-11	212.052000
1.192920E-11	207.174000
1.191400E-11	216.959000
1.192040E-11	221.622000
1.191510E-11	206.441000
1.192450E-11	181.277000
1.191700E-11	195.577000
1.191790E-11	194.908000
1.192520E-11	189.578000
1.192920E-11	197.921000
1.191990E-11	183.392000
1.191910E-11	181.951000
1.192110E-11	230.821000
1.192630E-11	237.440000
1.192780E-11	251.083000
1.192290E-11	210.056000
1.192780E-11	202.744000
1.192690E-11	192.008000
1.191900E-11	230.297000
1.192330E-11	191.721000
1.192350E-11	189.843000
1.192720E-11	227.608000
1.191700E-11	197.575000
1.191620E-11	199.196000
1.191830E-11	208.007000
1.191670E-11	228.647000
1.192040E-11	187.254000
1.191920E-11	182.001000
1.192460E-11	191.827000
1.191310E-11	206.238000
1.193000E-11	218.277000
1.192950E-11	218.256000
1.192840E-11	201.818000
1.191710E-11	234.651000
1.192300E-11	191.959000
1.192700E-11	202.547000
1.192530E-11	229.094000
1.191600E-11	186.852000
1.192790E-11	215.243000
1.192840E-11	203.425000
1.192450E-11	222.959000
1.192700E-11	241.832000
1.192260E-11	245.390000
1.192720E-11	230.358000
1.191510E-11	199.444000
1.191660E-11	197.963000
1.191900E-11	203.246000
1.191960E-11	237.931000
1.192570E-11	235.474000
1.191350E-11	227.418000
1.192080E-11	254.156000
1.191700E-11	201.300000
1.191900E-11	209.803000
1.191740E-11	191.903000
1.193180E-11	199.401000
1.191850E-11	237.555000
1.192670E-11	199.406000
1.192150E-11	192.344000
1.193200E-11	212.962000
1.192780E-11	246.541000
1.193050E-11	221.379000
1.192990E-11	208.463000
1.191750E-11	228.072000
1.192100E-11	220.486000
1.192530E-11	193.292000
1.192470E-11	229.792000
1.191690E-11	191.868000
1.191990E-11	196.016000
1.192930E-11	200.240000
1.192900E-11	220.977000
1.191570E-11	225.812000
1.191730E-11	217.965000
1.192840E-11	197.011000
1.192240E-11	237.111000
1.192030E-11	244.506000
1.191790E-11	202.668000
1.192860E-11	237.954000
1.192610E-11	209.843000
1.192830E-11	199.792000
1.192090E-11	193.360000
1.192610E-11	237.364000
1.192280E-11	264.324000
1.192660E-11	185.130000
1.192590E-11	222.907000
1.192060E-11	226.751000
1.191640E-11	207.733000
1.192830E-11	182.958000
1.192140E-11	212.793000
1.192730E-11	229.132000
1.192390E-11	242.286000
1.192230E-11	183.771000
1.193090E-11	214.559000
1.191660E-11	192.858000
1.192320E-11	212.515000
1.192550E-11	185.125000
1.192360E-11	182.406000
1.192370E-11	188.741000
1.192020E-11	184.328000
1.192880E-11	193.694000
1.193400E-11	207.043000
1.192600E-11	187.348000
1.193290E-11	182.262000
1.192580E-11	239.037000
1.191860E-11	219.530000
1.191880E-11	200.830000
1.193270E-11	219.355000
1.193450E-11	189.139000
1.193150E-11	214.792000
1.193210E-11	196.936000
1.192700E-11	176.713000
1.192930E-11	222.249000
1.193450E-11	215.416000
1.192170E-11	177.886000
1.192120E-11	226.115000
1.192010E-11	221.795000
1.192920E-11	221.686000
1.192810E-11	179.126000
1.192530E-11	177.417000
1.192000E-11	190.822000
1.192500E-11	199.195000
1.192790E-11	170.020000
1.193110E-11	187.516000
1.192490E-11	186.987000
1.192060E-11	177.455000
1.191800E-11	191.944000
1.192050E-11	173.349000
1.193220E-11	210.341000
1.192150E-11	225.595000
1.192710E-11	176.770000
1.191660E-11	175.133000
1.193090E-11	182.922000
1.193050E-11	231.042000
1.193070E-11	185.243000
1.193560E-11	196.294000
1.192650E-11	208.104000
1.192380E-11	216.928000
1.192720E-11	215.444000
1.193410E-11	232.252000
1.193380E-11	190.808000
1.191960E-11	200.341000
1.192470E-11	179.323000
1.192110E-11	212.852000
1.192630E-11	244.758000
1.192100E-11	216.177000
