2019-08-06	¿ÀÀü 9:27
Function	Cp-Q
Auto Range	Enabled
Manual Impedance Range	100	Ohms
Signal Frequency	1000.000000	Hz
Signal Type	Voltage
Signal Level	1.000000
Measurement Time	Medium
Averaging Factor	1.000000
Sampling Rate	5.000000	Hz
Cp	Q
1.513220E-11	476.448000
1.512750E-11	366.221000
1.513160E-11	371.459000
1.512020E-11	422.851000
1.511840E-11	510.302000
1.511670E-11	472.026000
1.513360E-11	517.788000
1.513290E-11	494.397000
1.511890E-11	640.357000
1.513610E-11	466.444000
1.512260E-11	580.834000
1.511970E-11	681.822000
1.513530E-11	469.020000
1.512220E-11	533.273000
1.512900E-11	399.628000
1.513080E-11	427.242000
1.512860E-11	603.558000
1.511940E-11	452.633000
1.512770E-11	370.287000
1.513630E-11	438.671000
1.513580E-11	431.638000
1.511730E-11	481.516000
1.513390E-11	627.396000
1.513020E-11	563.437000
1.511960E-11	575.838000
1.512020E-11	397.683000
1.512150E-11	519.478000
1.512210E-11	372.487000
1.512590E-11	438.822000
1.512480E-11	397.546000
1.510410E-11	465.750000
1.510800E-11	454.672000
1.508590E-11	506.615000
1.508010E-11	541.685000
1.506990E-11	545.355000
1.508390E-11	547.470000
1.507250E-11	612.752000
1.506500E-11	478.845000
1.507310E-11	430.331000
1.510620E-11	450.264000
1.511120E-11	434.672000
1.511680E-11	373.939000
1.511920E-11	513.325000
1.512600E-11	532.042000
1.511190E-11	465.226000
1.512590E-11	516.477000
1.512230E-11	465.949000
1.511990E-11	519.305000
1.512850E-11	521.038000
1.513780E-11	500.872000
1.512750E-11	562.712000
1.512910E-11	545.679000
1.513230E-11	369.323000
1.512530E-11	426.583000
1.513240E-11	388.485000
1.513250E-11	445.147000
1.513220E-11	461.438000
1.511550E-11	573.996000
1.512370E-11	502.584000
1.512920E-11	649.400000
1.512210E-11	580.107000
1.512270E-11	402.657000
1.511630E-11	428.821000
1.512720E-11	433.966000
1.513480E-11	549.823000
1.513150E-11	355.899000
1.512600E-11	396.043000
1.512050E-11	527.190000
1.512020E-11	388.061000
1.512440E-11	359.026000
1.512540E-11	499.043000
1.512870E-11	555.915000
1.512710E-11	536.279000
1.511960E-11	563.294000
1.512220E-11	464.565000
1.513060E-11	402.856000
1.512540E-11	415.679000
1.511800E-11	478.901000
1.512310E-11	414.403000
1.513000E-11	508.728000
1.512530E-11	472.395000
1.512670E-11	599.304000
1.511950E-11	412.021000
1.512800E-11	539.951000
1.513360E-11	544.119000
1.512850E-11	431.143000
1.514020E-11	487.157000
1.513330E-11	586.029000
1.512630E-11	453.272000
1.512400E-11	346.083000
1.512910E-11	422.452000
1.513030E-11	437.969000
1.513520E-11	483.440000
1.512390E-11	529.186000
1.513520E-11	514.363000
1.513280E-11	548.761000
1.512410E-11	555.338000
1.512050E-11	415.742000
1.513240E-11	465.680000
1.512270E-11	388.283000
1.513920E-11	519.947000
1.512790E-11	460.898000
1.511850E-11	393.802000
1.512110E-11	495.830000
1.511920E-11	512.526000
1.511830E-11	455.152000
1.512730E-11	595.604000
1.513560E-11	497.715000
1.512980E-11	617.034000
1.512540E-11	601.051000
1.512110E-11	540.288000
1.512650E-11	445.545000
1.511790E-11	404.552000
1.512390E-11	480.793000
1.512340E-11	409.547000
1.513460E-11	484.918000
1.512840E-11	633.017000
1.513690E-11	483.631000
1.512360E-11	584.669000
1.513360E-11	601.886000
1.513580E-11	423.765000
1.512650E-11	392.557000
1.512720E-11	438.879000
1.512670E-11	392.645000
1.512010E-11	392.444000
1.512270E-11	565.895000
1.512300E-11	414.670000
1.512560E-11	545.621000
1.512800E-11	528.071000
1.512910E-11	623.729000
1.513020E-11	347.790000
1.513590E-11	367.638000
1.513570E-11	434.786000
1.512130E-11	577.519000
1.512260E-11	427.761000
1.512430E-11	592.376000
1.512290E-11	424.473000
1.512020E-11	418.640000
1.512910E-11	562.107000
1.513550E-11	575.117000
1.513020E-11	456.398000
1.512970E-11	569.975000
1.513440E-11	432.030000
1.512670E-11	380.360000
1.513740E-11	385.864000
1.513610E-11	541.055000
1.513570E-11	614.162000
1.511810E-11	424.941000
1.513040E-11	575.090000
1.512550E-11	713.157000
1.512770E-11	557.008000
1.512270E-11	403.494000
1.513550E-11	471.524000
1.512860E-11	399.313000
1.512830E-11	506.185000
1.513910E-11	407.673000
1.512570E-11	410.207000
1.513160E-11	515.869000
1.512460E-11	392.659000
1.512390E-11	399.934000
1.513460E-11	492.722000
1.513000E-11	611.550000
1.512480E-11	675.985000
1.512100E-11	546.186000
1.511910E-11	499.898000
1.512360E-11	445.005000
1.512510E-11	399.192000
1.513420E-11	507.946000
1.513260E-11	373.365000
1.513320E-11	545.563000
1.512090E-11	476.157000
1.512620E-11	567.935000
1.512400E-11	361.544000
1.512200E-11	694.739000
1.513260E-11	546.265000
1.513790E-11	416.118000
1.512560E-11	635.934000
1.512910E-11	753.038000
1.513040E-11	418.422000
1.512950E-11	398.613000
1.513080E-11	441.548000
1.512740E-11	495.327000
1.512940E-11	624.663000
1.512530E-11	498.665000
1.512340E-11	567.367000
1.512590E-11	541.591000
1.512480E-11	527.203000
1.512800E-11	406.684000
1.513330E-11	541.474000
1.513500E-11	422.945000
1.512350E-11	542.007000
1.513260E-11	407.839000
1.513060E-11	411.191000
1.512770E-11	389.216000
1.513700E-11	483.035000
1.513500E-11	443.611000
1.511920E-11	654.067000
1.511370E-11	501.911000
1.512050E-11	417.334000
1.511250E-11	468.678000
1.511930E-11	428.182000
1.512830E-11	621.395000
1.512830E-11	576.219000
1.512990E-11	486.706000
1.512720E-11	524.565000
1.512330E-11	393.746000
1.513180E-11	482.159000
1.513120E-11	370.452000
1.512610E-11	541.670000
1.512920E-11	428.900000
1.512850E-11	366.281000
1.512030E-11	483.117000
1.513090E-11	415.977000
1.513070E-11	440.766000
1.512260E-11	415.041000
1.511620E-11	434.215000
1.512170E-11	395.584000
1.512420E-11	434.502000
1.512740E-11	425.077000
1.512120E-11	533.606000
1.512360E-11	569.025000
1.512360E-11	554.894000
1.512590E-11	562.949000
1.512350E-11	409.618000
1.513200E-11	407.395000
1.513640E-11	368.263000
1.511990E-11	592.288000
1.512850E-11	438.281000
1.513080E-11	395.201000
1.511900E-11	405.750000
1.513000E-11	395.621000
1.512050E-11	589.298000
1.512760E-11	423.448000
1.511820E-11	405.118000
1.512410E-11	403.649000
1.513100E-11	503.985000
1.512610E-11	487.083000
1.511970E-11	505.230000
1.512210E-11	580.369000
1.512210E-11	550.855000
1.513180E-11	504.452000
1.512550E-11	415.459000
1.513350E-11	453.579000
1.513280E-11	424.411000
1.511670E-11	554.733000
1.513130E-11	506.162000
1.512950E-11	468.967000
1.512630E-11	405.794000
1.513080E-11	495.151000
1.512990E-11	543.415000
1.511410E-11	475.289000
1.512090E-11	414.162000
1.512260E-11	429.943000
1.512180E-11	499.260000
1.512610E-11	396.845000
1.511160E-11	496.279000
1.511060E-11	528.973000
1.510880E-11	480.700000
1.509240E-11	497.744000
1.510230E-11	475.275000
1.509840E-11	608.560000
1.510160E-11	577.857000
1.507700E-11	479.792000
1.508520E-11	693.857000
1.512230E-11	541.247000
1.512720E-11	407.035000
1.512660E-11	543.186000
1.512400E-11	593.475000
1.512790E-11	474.581000
1.512580E-11	389.940000
1.513010E-11	432.268000
1.512270E-11	606.322000
1.512420E-11	565.191000
1.512070E-11	403.396000
1.511860E-11	428.321000
1.512040E-11	531.854000
1.511810E-11	430.942000
1.513130E-11	487.482000
1.512440E-11	681.431000
1.512850E-11	524.044000
1.511790E-11	431.929000
1.512340E-11	639.916000
1.512410E-11	580.385000
1.513120E-11	455.035000
1.512900E-11	607.172000
1.512250E-11	557.270000
1.512950E-11	401.536000
1.512780E-11	411.300000
1.512990E-11	478.446000
1.512700E-11	524.349000
1.512060E-11	535.387000
1.511560E-11	374.161000
1.511690E-11	411.868000
1.511930E-11	451.489000
1.511440E-11	408.284000
1.512170E-11	473.364000
1.512620E-11	502.164000
1.512270E-11	604.659000
1.511700E-11	388.635000
1.511270E-11	490.642000
1.511880E-11	617.709000
1.512690E-11	449.120000
1.512010E-11	626.216000
1.511930E-11	617.171000
1.513140E-11	477.154000
1.513080E-11	412.692000
1.512740E-11	478.444000
1.512240E-11	500.247000
1.512930E-11	465.286000
1.511440E-11	385.952000
1.511210E-11	459.198000
1.511970E-11	503.298000
1.512300E-11	394.057000
1.512570E-11	461.199000
1.511980E-11	703.132000
1.512370E-11	621.679000
1.511800E-11	381.947000
1.512010E-11	659.527000
1.512410E-11	538.012000
1.513410E-11	436.759000
1.512590E-11	630.714000
1.512040E-11	635.051000
1.513080E-11	389.038000
1.512570E-11	409.886000
1.512880E-11	425.246000
1.512840E-11	560.987000
1.512340E-11	607.353000
1.512320E-11	396.061000
1.512050E-11	510.648000
1.512230E-11	460.585000
1.512670E-11	675.588000
1.512850E-11	521.546000
1.512330E-11	558.904000
1.512550E-11	597.267000
1.511760E-11	465.103000
1.512740E-11	599.617000
1.512630E-11	551.633000
1.513000E-11	461.658000
1.512720E-11	548.252000
1.512540E-11	572.837000
1.511920E-11	439.862000
1.512550E-11	408.516000
1.513010E-11	413.730000
1.512950E-11	482.398000
1.512940E-11	501.352000
1.511760E-11	590.952000
1.511800E-11	540.790000
1.512340E-11	547.528000
1.511930E-11	622.640000
1.512630E-11	462.162000
1.513070E-11	516.867000
1.513060E-11	462.787000
1.511930E-11	547.591000
1.513520E-11	483.154000
1.513410E-11	422.940000
1.511770E-11	621.347000
1.513090E-11	433.830000
1.513440E-11	468.906000
1.512730E-11	364.221000
1.512060E-11	412.448000
1.512520E-11	413.651000
1.512810E-11	481.307000
1.511640E-11	388.491000
1.512730E-11	600.794000
1.513320E-11	593.907000
1.513220E-11	458.360000
1.513070E-11	573.864000
1.512500E-11	394.922000
1.512790E-11	419.273000
1.512800E-11	392.851000
1.513750E-11	602.401000
1.512640E-11	390.639000
1.512650E-11	361.563000
1.512420E-11	606.083000
1.511970E-11	454.565000
1.512200E-11	397.073000
1.511910E-11	534.188000
1.513030E-11	630.596000
1.512710E-11	577.153000
1.512180E-11	428.232000
1.512520E-11	417.873000
1.513240E-11	459.138000
1.512840E-11	364.485000
