2019-08-06	¿ÀÀü 9:49
Function	Cp-Q
Auto Range	Enabled
Manual Impedance Range	100	Ohms
Signal Frequency	1000.000000	Hz
Signal Type	Voltage
Signal Level	1.000000
Measurement Time	Medium
Averaging Factor	1.000000
Sampling Rate	5.000000	Hz
Cp	Q
1.547290E-11	23.731600
1.544990E-11	23.412900
1.544510E-11	23.466600
1.543430E-11	23.316300
1.438310E-11	74.207700
1.478950E-11	41.832200
1.487240E-11	63.007000
1.487410E-11	61.669300
1.486950E-11	58.865400
1.485890E-11	60.565400
1.487070E-11	61.121900
1.486380E-11	60.265400
1.485390E-11	59.640500
1.484320E-11	61.912000
1.485300E-11	60.701700
1.484560E-11	59.874500
1.484840E-11	60.891300
1.483650E-11	61.417400
1.484530E-11	62.177100
1.484170E-11	63.126500
1.483740E-11	65.908600
1.483020E-11	61.731900
1.482470E-11	61.920800
1.482330E-11	61.076700
1.483070E-11	61.731000
1.482580E-11	65.511700
1.481820E-11	63.087500
1.481530E-11	63.292200
1.481620E-11	61.677800
1.482040E-11	62.178000
1.481540E-11	60.680300
1.482450E-11	65.505100
1.480840E-11	60.664300
1.480840E-11	61.421800
1.479480E-11	62.257500
1.479510E-11	61.937200
1.480420E-11	64.841000
1.481110E-11	60.943400
1.481640E-11	62.543400
1.480440E-11	61.765400
1.479490E-11	63.520100
1.479820E-11	62.902000
1.479730E-11	62.391200
1.479870E-11	65.137800
1.479090E-11	63.888200
1.479210E-11	64.991900
1.480100E-11	63.024800
1.479000E-11	62.282800
1.478900E-11	63.147800
1.478620E-11	65.388800
1.480260E-11	63.109000
1.479810E-11	63.125400
1.478990E-11	61.978800
1.478900E-11	64.594900
1.480700E-11	63.468400
1.480480E-11	66.279500
1.480130E-11	64.131400
1.480020E-11	67.229900
1.479080E-11	66.549200
1.478010E-11	64.505200
1.479020E-11	64.144100
1.478710E-11	68.162100
1.477760E-11	64.555400
1.478230E-11	67.424600
1.479920E-11	65.974300
1.479450E-11	63.141400
1.478730E-11	64.883600
1.479260E-11	66.202800
1.479270E-11	64.870800
1.479460E-11	65.515600
1.479280E-11	67.516200
1.477930E-11	66.171500
1.480270E-11	65.785300
1.479440E-11	66.771900
1.479550E-11	65.345500
1.480020E-11	65.198800
1.479170E-11	67.048800
1.479450E-11	65.477300
1.480210E-11	65.756600
1.480050E-11	69.988400
1.480000E-11	65.121300
1.478800E-11	68.286100
1.479400E-11	65.899300
1.479640E-11	65.863900
1.479450E-11	65.824000
1.480380E-11	68.916500
1.479780E-11	66.828900
1.480100E-11	66.972000
1.479310E-11	66.802800
1.478280E-11	66.756000
1.478240E-11	68.697000
1.479410E-11	66.102000
1.478820E-11	68.629100
1.478770E-11	66.931000
1.477900E-11	67.753700
1.478070E-11	67.034800
1.478160E-11	67.234600
1.478200E-11	71.515300
1.477090E-11	68.239300
1.476220E-11	69.662200
1.477140E-11	68.890900
1.475730E-11	69.292600
1.474890E-11	67.835400
1.475080E-11	69.158500
1.474560E-11	65.288500
1.475620E-11	68.101300
1.465650E-11	72.043000
1.472430E-11	71.776500
1.408440E-11	132.375000
1.430750E-11	130.168000
1.422370E-11	114.798000
1.443800E-11	89.177200
1.423700E-11	138.246000
1.417390E-11	138.924000
1.413970E-11	132.421000
1.414520E-11	124.005000
1.424200E-11	121.663000
1.435700E-11	94.038100
1.429360E-11	107.378000
1.409700E-11	132.093000
1.410280E-11	134.592000
1.411210E-11	134.167000
1.435690E-11	91.590800
1.436680E-11	94.257700
1.436640E-11	90.691300
1.438340E-11	96.340200
1.438780E-11	97.277700
1.438120E-11	94.939000
1.404950E-11	144.186000
1.399900E-11	188.255000
1.420980E-11	126.475000
1.449350E-11	76.318800
1.471870E-11	57.825500
1.465670E-11	62.349500
1.472470E-11	63.321400
1.474480E-11	62.298700
1.460430E-11	76.360600
1.459390E-11	74.402300
1.420840E-11	126.433000
1.410470E-11	141.163000
1.457090E-11	69.591900
1.458400E-11	67.951100
1.458370E-11	66.182500
1.455930E-11	88.327600
1.477440E-11	57.047900
1.474800E-11	56.226900
1.467930E-11	61.172600
1.409180E-11	119.327000
1.415530E-11	118.122000
1.414270E-11	132.887000
1.412410E-11	128.812000
1.426470E-11	93.117500
1.420050E-11	128.098000
1.420310E-11	122.520000
1.420820E-11	124.625000
1.421570E-11	111.764000
1.421640E-11	130.624000
1.421270E-11	119.729000
1.419910E-11	124.144000
1.418910E-11	130.467000
1.419510E-11	120.056000
1.419750E-11	120.167000
1.419820E-11	122.341000
1.419400E-11	125.988000
1.418440E-11	125.573000
1.418790E-11	114.019000
1.419090E-11	112.851000
1.418540E-11	121.081000
1.418290E-11	119.790000
1.417990E-11	122.941000
1.418900E-11	115.057000
1.418450E-11	115.715000
1.419890E-11	127.167000
1.420170E-11	114.185000
1.419390E-11	115.251000
1.417720E-11	119.277000
1.417510E-11	112.690000
1.416090E-11	121.054000
1.413530E-11	121.255000
1.418480E-11	105.941000
1.423180E-11	115.288000
1.422200E-11	108.994000
1.420490E-11	102.339000
1.419420E-11	106.755000
1.419550E-11	110.431000
1.419580E-11	110.762000
1.418830E-11	108.662000
1.420720E-11	106.594000
1.422500E-11	113.206000
1.424230E-11	111.532000
1.420990E-11	104.705000
1.420570E-11	111.894000
1.420040E-11	113.113000
1.419740E-11	111.966000
1.421640E-11	104.276000
1.423740E-11	102.710000
1.426800E-11	103.421000
1.426480E-11	101.298000
1.424580E-11	108.874000
1.423930E-11	102.608000
1.423260E-11	100.869000
1.426370E-11	100.271000
1.427380E-11	95.411100
1.426600E-11	96.379800
1.426190E-11	104.272000
1.423610E-11	101.035000
1.429480E-11	90.137200
1.431020E-11	91.910900
1.430630E-11	95.354200
1.429970E-11	91.932400
1.427680E-11	89.259500
1.426950E-11	95.880700
1.432700E-11	91.493100
1.432850E-11	93.694800
1.432050E-11	88.394800
1.430150E-11	90.816700
1.429150E-11	91.632100
1.428740E-11	91.807000
1.427460E-11	92.792000
1.427270E-11	89.366900
1.426740E-11	98.850800
1.426320E-11	93.512400
1.427190E-11	91.839500
1.418380E-11	99.938400
1.431410E-11	72.082200
1.441000E-11	80.199900
1.441050E-11	73.949000
1.437110E-11	78.040100
1.440410E-11	78.165400
1.442850E-11	75.913000
1.438860E-11	75.199600
1.447730E-11	66.177500
1.435410E-11	82.465500
1.433340E-11	91.686700
1.418250E-11	102.479000
1.414220E-11	93.965700
1.419890E-11	90.492300
1.429920E-11	88.152600
1.431730E-11	99.115200
1.446750E-11	66.334300
1.443890E-11	71.935700
1.444610E-11	73.087100
1.445570E-11	74.280600
1.447790E-11	70.135800
1.449530E-11	64.668600
1.449810E-11	65.755000
1.451280E-11	65.237800
1.451480E-11	63.934400
1.451410E-11	63.291800
1.450710E-11	62.869600
1.451420E-11	61.441300
1.441150E-11	80.956000
1.435840E-11	84.481400
1.435320E-11	85.964500
1.436570E-11	81.681900
1.438880E-11	82.562000
1.439880E-11	84.008300
1.436850E-11	83.108600
1.435100E-11	84.466800
1.435690E-11	79.148300
1.434590E-11	83.549100
1.433760E-11	80.868500
1.429880E-11	88.065100
1.431780E-11	90.183800
1.434680E-11	90.237100
1.434430E-11	87.751500
1.433510E-11	96.324800
1.432760E-11	94.229200
1.433610E-11	89.906200
1.433630E-11	91.942900
1.434250E-11	89.207600
1.434630E-11	92.692100
1.433070E-11	87.982700
1.434050E-11	87.974200
1.433170E-11	85.785900
1.435180E-11	85.000400
1.434860E-11	91.410300
1.434150E-11	87.181700
1.434540E-11	85.048000
1.434570E-11	86.461300
1.434570E-11	91.466000
1.434600E-11	93.328100
1.434040E-11	87.522300
1.434440E-11	86.089000
1.428380E-11	90.092200
1.428950E-11	86.498400
1.429610E-11	85.704100
1.437770E-11	70.169600
1.432740E-11	78.461400
1.429100E-11	77.442800
1.441360E-11	76.428100
1.440490E-11	78.260800
1.439050E-11	76.106600
1.438130E-11	80.471000
1.433210E-11	94.166000
1.451630E-11	63.998800
1.452550E-11	64.260500
1.432890E-11	77.426000
1.441510E-11	74.512500
1.448540E-11	65.859400
1.442020E-11	72.469600
1.445650E-11	67.387000
1.451770E-11	63.273500
1.447290E-11	73.207500
1.452220E-11	68.734000
1.454510E-11	64.008200
1.455070E-11	64.895100
1.455600E-11	62.093500
1.455270E-11	62.348600
1.446890E-11	73.766000
1.444760E-11	73.479600
1.443690E-11	74.533200
1.441740E-11	76.443600
1.440430E-11	72.750900
1.438860E-11	75.862600
1.439360E-11	74.686600
1.437230E-11	79.741900
1.437380E-11	79.309400
1.437070E-11	80.684500
1.439110E-11	78.579000
1.437390E-11	84.497500
1.435600E-11	83.322800
1.435930E-11	81.938300
1.435090E-11	80.463400
1.437620E-11	77.509200
1.437350E-11	83.292500
1.436730E-11	80.170100
1.437810E-11	84.255400
1.437140E-11	82.064500
1.436460E-11	82.190800
1.436610E-11	88.533700
1.435460E-11	84.555700
1.446080E-11	70.151400
1.447110E-11	66.245200
1.450530E-11	65.468900
1.452310E-11	64.512800
1.453100E-11	61.997400
1.453760E-11	63.186000
1.453350E-11	67.108300
1.453120E-11	67.295000
1.454150E-11	67.283900
1.453940E-11	64.831200
1.455620E-11	67.513100
1.455410E-11	66.491200
1.455450E-11	64.019300
1.457160E-11	66.136900
1.456540E-11	62.834600
1.457820E-11	64.485800
1.456860E-11	67.454900
1.455970E-11	63.911400
1.457250E-11	65.942300
1.456750E-11	62.064900
1.456410E-11	64.491500
1.456630E-11	67.283400
1.457660E-11	64.384300
1.457660E-11	64.162500
1.456520E-11	64.548800
1.456720E-11	63.735000
1.456990E-11	66.854000
1.457560E-11	64.066600
1.455850E-11	65.941700
1.454140E-11	64.898700
1.456040E-11	63.303900
1.457790E-11	64.551100
1.458670E-11	62.757000
1.458680E-11	63.584500
1.457660E-11	63.449700
1.457750E-11	60.639500
1.458620E-11	62.665000
1.459320E-11	61.512700
1.457570E-11	63.022100
1.458330E-11	62.943700
1.458590E-11	64.699800
1.459210E-11	64.267600
1.458820E-11	63.942600
1.458210E-11	62.833100
1.459010E-11	62.202400
1.459650E-11	63.655200
1.459030E-11	61.140700
1.458930E-11	60.707600
1.458640E-11	61.910800
1.459770E-11	63.370000
1.459930E-11	64.098800
