Time(s)	Force(N)	Travel(mm)	Voltage(V)	Current(A)
0.000000	0.000000	-17.900000	0.000000	0.000000
0.012966	0.000000	-17.900000	0.000000	0.000000
0.027926	0.000000	-17.900000	0.000000	0.000000
0.041398	0.000000	-17.900000	0.000000	0.000000
0.053365	0.000000	-17.900000	0.000000	0.000000
0.069328	0.000000	-17.900000	0.000000	0.000000
0.101239	0.000000	-17.900000	0.000000	0.000000
0.115200	0.000000	-17.900000	0.000000	0.000000
0.131158	0.000000	-17.900000	0.000000	0.000000
0.145634	0.000000	-17.900000	0.000000	0.000000
0.159596	0.000000	-17.900000	0.000000	0.000000
0.172563	0.000000	-17.900000	0.000000	0.000000
0.187522	0.000000	-17.900000	0.000000	0.000000
0.200496	0.000000	-17.900000	0.000000	0.000000
0.212454	0.000000	-17.900000	0.000000	0.000000
0.227422	0.000000	-17.900000	0.000000	0.000000
0.239383	0.000000	-17.900000	0.000000	0.001000
0.263320	0.000000	-17.900000	0.000000	0.001000
0.281271	0.000000	-17.900000	0.000000	0.001000
0.293243	0.000000	-17.900000	0.000000	0.001000
0.307202	0.000000	-17.900000	0.000000	0.001000
0.326157	0.000000	-17.900000	0.000000	0.001000
0.341110	0.000000	-17.900000	0.000000	0.001000
0.353079	0.000000	-17.900000	0.000000	0.001000
0.371034	0.000000	-17.900000	0.000000	0.001000
0.387986	0.000000	-17.900000	0.000000	0.001000
0.424890	0.000000	-17.900000	0.000000	0.001000
0.439850	0.000000	-17.900000	0.000000	0.001000
0.459800	0.000000	-17.900000	0.000000	0.001000
0.471761	0.000000	-17.900000	0.000000	0.001000
0.485724	0.000000	-17.900000	0.000000	0.001000
0.501681	0.000000	-17.900000	0.000000	0.001000
0.514646	0.000000	-17.900000	0.000000	0.001000
0.525617	0.000000	-17.900000	0.000000	0.001000
0.540577	0.000000	-17.900000	0.000000	0.001000
0.552554	0.000000	-17.900000	0.000000	0.001000
0.584466	0.000000	-17.900000	0.000000	0.001000
0.604408	0.000000	-17.900000	0.000000	0.001000
0.623356	0.000000	-17.900000	0.000000	0.001000
0.635324	0.000000	-17.900000	0.000000	0.001000
0.651287	0.000000	-17.900000	0.000000	0.001000
0.666243	0.000000	-17.900000	0.000000	0.001000
0.679206	0.000000	-17.900000	0.000000	0.001000
0.695164	0.000000	-17.900000	0.000000	0.001000
0.709127	0.000000	-17.900000	0.000000	0.001000
0.726085	0.000000	-17.900000	0.000000	0.001000
0.746027	0.000000	-17.900000	0.000000	0.001000
0.757997	0.000000	-17.900000	0.000000	0.001000
0.773967	0.000000	-17.900000	0.000000	0.001000
0.785921	0.000000	-17.900000	0.000000	0.001000
0.804872	0.000000	-17.900000	0.000000	0.001000
0.829803	0.000000	-17.900000	0.000000	0.001000
0.841777	0.000000	-17.900000	0.000000	0.001000
0.857735	0.000000	-17.900000	0.000000	0.001000
0.871877	0.000000	-17.900000	0.000000	0.001000
0.906603	0.000000	-17.900000	0.000000	0.001000
0.919569	0.000000	-17.900000	0.000000	0.001000
0.932536	0.000000	-17.900000	0.000000	0.001000
0.947297	0.000000	-17.900000	0.000000	0.001000
0.961260	0.000000	-17.900000	0.000000	0.001000
0.975223	0.000000	-17.900000	0.000000	0.001000
0.991429	0.000000	-17.900000	0.000000	0.001000
1.005283	0.000000	-17.900000	0.000000	0.001000
1.024348	0.000000	-17.900000	0.000000	0.001000
1.038053	0.005000	-17.920000	0.000000	0.001000
1.073220	0.000000	-17.920000	0.000000	0.001000
1.089179	0.000000	-17.940000	0.000000	0.001000
1.104139	0.000000	-17.940000	0.000000	0.001000
1.123090	0.000000	-17.980000	0.000000	0.001000
1.139043	0.000000	-18.000000	0.000000	0.001000
1.171687	0.000000	-18.000000	0.000000	0.001000
1.189638	0.000000	-18.020000	0.000000	0.001000
1.217582	0.000000	-18.020000	0.000000	0.001000
1.235637	0.000000	-18.040000	0.000000	0.001000
1.248760	0.000000	-18.040000	0.000000	0.001000
1.262443	0.000000	-18.080000	0.000000	0.001000
1.278438	0.000000	-18.080000	0.000000	0.001000
1.315304	0.000000	-18.100000	0.000000	0.001000
1.328269	0.000000	-18.120000	0.000000	0.001000
1.346221	0.000000	-18.120000	0.000000	0.001000
1.360182	0.000000	-18.120000	0.000000	0.001000
1.390101	0.000000	-18.160000	0.000000	0.001000
1.404066	0.000000	-18.180000	0.000000	0.001000
1.420022	0.000000	-18.180000	0.000000	0.001000
1.433985	0.000000	-18.180000	0.000000	0.001000
1.447520	0.000000	-18.200000	0.000000	0.001000
1.462480	0.000000	-18.200000	0.000000	0.001000
1.478437	0.000000	-18.220000	0.000000	0.001000
1.496389	0.000000	-18.220000	0.000000	0.001000
1.511349	0.000000	-18.220000	0.000000	0.001000
1.523318	0.000000	-18.260000	0.000000	0.001000
1.550246	0.000000	-18.260000	0.000000	0.001000
1.564208	0.000000	-18.280000	0.000000	0.001000
1.578171	0.000000	-18.280000	0.000000	0.001000
1.593132	0.000000	-18.280000	0.000000	0.001000
1.607096	0.000000	-18.300000	0.000000	0.001000
1.621057	0.000000	-18.300000	0.000000	0.001000
1.636016	0.000000	-18.320000	0.000000	0.001000
1.653970	0.000000	-18.320000	0.000000	0.001000
1.672925	0.000000	-18.320000	0.000000	0.001000
1.685891	0.000000	-18.360000	0.000000	0.001000
1.711825	0.000000	-18.360000	0.000000	0.001000
1.725775	0.000000	-18.380000	0.000000	0.001000
1.740805	0.000000	-18.380000	0.000000	0.001000
1.754701	0.000000	-18.400000	0.000000	0.001000
1.770657	0.000000	-18.400000	0.000000	0.001000
1.784619	0.000000	-18.400000	0.000000	0.001000
1.800577	0.000000	-18.440000	0.000000	0.001000
1.817534	0.000000	-18.440000	0.000000	0.001000
1.830497	0.000000	-18.460000	0.000000	0.001000
1.847451	0.000000	-18.460000	0.000000	0.001000
1.872384	0.000000	-18.460000	0.000000	0.001000
1.886347	0.000000	-18.480000	0.000000	0.001000
1.901308	0.000000	-18.480000	0.000000	0.001000
1.914272	0.000000	-18.500000	0.000000	0.001000
1.930230	0.000000	-18.500000	0.000000	0.001000
1.942198	0.000000	-18.500000	0.000000	0.001000
1.955163	0.000000	-18.540000	0.000000	0.001000
1.972117	0.000000	-18.540000	0.000000	0.001000
1.985092	0.000000	-18.560000	0.000000	0.001000
1.998048	0.000000	-18.560000	0.000000	0.001000
2.015002	0.000000	-18.560000	0.000000	0.001000
2.049909	0.000000	-18.580000	0.000000	0.001000
2.066869	0.000000	-18.600000	0.000000	0.001000
2.086811	0.000000	-18.600000	0.000000	0.001000
2.099776	0.000000	-18.640000	0.000000	0.001000
2.141664	0.000000	-18.640000	0.000000	0.001000
2.160613	0.000000	-18.660000	0.000000	0.001000
2.173578	0.000000	-18.680000	0.000000	0.001000
2.189536	0.000000	-18.680000	0.000000	0.001000
2.204496	0.000000	-18.700000	0.000000	0.001000
2.220455	0.000000	-18.700000	0.000000	0.001000
2.234420	0.000000	-18.700000	0.000000	0.001000
2.252368	0.000000	-18.740000	0.000000	0.001000
2.284289	0.000000	-18.740000	0.000000	0.002000
2.305227	0.000000	-18.760000	0.000000	0.002000
2.354097	0.000000	-18.780000	0.000000	0.002000
2.369056	0.000000	-18.820000	0.000000	0.002000
2.383018	0.000000	-18.820000	0.000000	0.002000
2.397977	0.000000	-18.840000	0.000000	0.002000
2.410966	0.000000	-18.840000	0.000000	0.002000
2.444856	0.000000	-18.840000	0.000000	0.002000
2.464801	0.000000	-18.860000	0.000000	0.002000
